energy_mev,best_1e46_cm2,minus3sigma_1e46_cm2,plus3sigma_1e46_cm2
0.240,13.10,12.24,13.95
0.250,13.57,12.68,14.46
0.275,14.99,14.00,15.98
0.300,16.62,15.51,17.72
0.325,18.36,17.14,19.58
0.350,20.18,18.84,21.53
0.375,22.08,20.60,23.57
0.400,24.06,22.44,25.67
0.425,26.48,24.65,31.01
0.450,28.62,26.64,33.62
0.500,33.14,30.83,39.21
0.600,43.00,39.96,51.54
0.700,53.97,50.11,65.34
0.800,68.48,62.45,82.61
0.900,82.76,75.05,103.1
1.000,98.30,88.68,125.8
1.100,122.6,107.6,165.8
1.200,144.0,125.1,199.6
1.300,167.2,143.9,236.6
1.400,192.1,164.0,276.8
1.500,224.3,188.2,331.1
1.600,255.3,212.2,382.9
1.700,288.6,237.8,439.0
1.750,306.1,251.1,468.5
2.000,397.2,316.2,633.6
2.500,649.3,497.1,1073
3.000,990.5,731.8,1688
3.500,1464,1041,2559
4.000,2129,1456,3808
4.500,3074,2017,5609
5.000,4380,2766,8127
5.500,6133,3744,11530
6.000,8434,5001,16030
6.500,11440,6615,21940
7.000,15300,8658,29540
7.500,20090,11170,39000
8.000,25760,14120,50220
8.500,32300,17520,63160
9.000,39680,21360,77790
9.500,47970,25660,94220
10.000,57100,30400,112300
10.500,67050,35410,132100
11.000,77810,40820,153600
11.500,89370,46570,176600
12.000,101700,52640,201300
12.500,114800,59020,227500
13.000,128700,65680,255200
13.500,143200,72600,284500
14.000,158500,79730,315200
14.500,174500,87060,347400
15.000,191200,94550,381100
15.500,208500,102200,416100
16.000,226400,109800,452600
18.000,304000,140600,611700
20.000,389900,168900,791000
22.500,506400,195500,1041000
25.000,629600,205600,1317000
30.000,878900,148400,1930000
