mode,excitation_mev,bgt,bgt_uncertainty,source_table,notes
individual,0.075,0.338,0.031,II,"dominant 1+ state"
individual,0.421,0.014,0.002,II,"1+"
individual,0.848,0.0010,0.0005,II,"1+"
individual,1.142,0.007,0.003,II,"1+"
individual,1.233,0.013,0.002,II,"1+"
individual,1.378,0.0070,0.0004,II,"1+"
individual,1.484,0.036,0.010,II,"1+"
individual,1.766,0.011,0.001,II,"mixed unresolved [1+,2-], GT fraction extracted"
individual,1.958,0.010,0.001,II,"1+"
individual,2.087,0.149,0.017,II,"1+"
individual,2.136,0.026,0.004,II,"1+"
individual,2.213,0.051,0.003,II,"mixed unresolved [1+,2-], GT fraction extracted"
individual,2.272,0.024,0.005,II,"1+"
individual,2.317,0.007,0.003,II,"1+"
individual,2.351,0.021,0.004,II,"1+"
individual,2.498,0.017,0.002,II,"1+"
bin,2.750,0.117,0.022,III,"2.5-3.0 MeV GT bin, represented at center as in Table IV"
bin,3.250,0.215,0.027,III,"3.0-3.5 MeV GT bin"
bin,3.750,0.219,0.022,III,"3.5-4.0 MeV GT bin"
bin,4.250,0.449,0.020,III,"4.0-4.5 MeV GT bin"
bin,4.750,0.403,0.018,III,"4.5-5.0 MeV GT bin"
bin,5.250,0.543,0.022,III,"5.0-5.5 MeV GT bin"
bin,5.750,0.608,0.024,III,"5.5-6.0 MeV GT bin"
bin,6.250,0.497,0.019,III,"6.0-6.5 MeV GT bin"
bin,6.750,0.498,0.017,III,"6.5-7.0 MeV GT bin"
bin,7.296,0.615,0.017,III,"7.0-7.6 MeV final bin represented at Table-IV energy 7.296 MeV"
